AR          0.040
N2          2.8013E-02 
H           1.0080E-03
O2          3.1999E-02
OH          1.7007E-02
O           1.5999E-02
H2          2.0159E-03
H2O         1.8015E-02
HO2         3.3007E-02
H2O2        3.4015E-02
C           0.012
C2          0.024
C4          0.048
CO          0.028
CO2         0.044
CH          0.013
CH2         0.014
CH2(S)      0.014
HCO         0.029
TXCH2       0.014
C2H2        0.026
CH3         0.015
C2H3        0.027
CH2O        0.030
C2H4        0.028
PXCH2       0.014
C3H6        0.042
CH4         0.016
C2H5        0.029
C2H6        0.030
CH2OH       0.031
CH3O        0.031
CH3OH       0.032
C2H         0.025
HCCO        0.041
HCCOH       0.042
C3H7        0.043
CH2CO       0.042
CHO         0.029
CH2CHO      0.043
CH3CO       0.043
CH3CHO      0.044
CH3HCO      0.044
C3H3        0.039
C4H4        0.052
UXC4H3      0.051
C3H4        0.040
C3H5        0.041
PXC3H4      0.040
NXC3H7      0.043
IXC3H7      0.043
C3H8        0.044
C4H2        0.050
SXC4H3      0.051
UXC4H5      0.053
SXC4H5      0.053
C4H6        0.054
C4H7        0.055
PXC4H8      0.056
PXC4H9      0.057
C5H9        0.069
PXC5H10     0.070
PXC5H11     0.071
PXC6H12     0.084
PXC6H13     0.085
PXC7H14     0.098
PXC7H15     0.099
SXC10H21    0.141
TXC10H21    0.141
NXC10H22    0.142
SXRO2       0.173
TX2XRO2H    0.173
PXC10H20    0.140
T2O2RO2H    0.205
TX2ORO2H    0.188
A1XC6H6     0.078
UXC6H7      0.079
A1XXC6H5    0.077
UXC6H5      0.077
C6H5O       0.093
C6H5OH      0.094
C5H5        0.065
C5H6        0.066
C5H5O       0.081
A1C2H       0.102
A1C2HX      0.101
A1C2HY      0.101
A1C2HAC     0.127
A2XX        0.127
A2XC10H8    0.128
A2R5        0.152
A2R5X       0.151
A2R5C2H     0.176
A2R5C2HY    0.175
ANC2HAC     0.201
A3R5X       0.201
A3R5        0.202
A3R5AC      0.227
A4          0.226
A1CH3       0.092
A1CH2       0.091
A1CH2O      0.107
A1CH2OH     0.108
A1CHO       0.106
C14H14      0.182
A1CO        0.105
TMB         0.120
XYLXCH2     0.119
XYLXCH2O    0.135
XYLCH2OH    0.136
A1X2CH3     0.106
XYLX        0.105
XYLXCHO-1   0.134
XYLXCHO-2   0.135
XYLXCO      0.133
TYLXCH2     0.105
TYLXCH2O    0.121
TYLCH2OH    0.122
TYLX        0.091
TYLXCHO-1   0.120
TYLXCHO-2   0.121
TYLXCO      0.119
A4X         0.0
A4C2H       0.0
A4C2HY      0.0
A5X         0.0
A5          0.0
CL          0.0355
CL2         0.071
CCL4        0.154
CCL3        0.1185
CCL2        0.083
CCL         0.0475
C2CL2       0.095
C2CL3       0.1305
C2CL4       0.166
C2CL5       0.2015
C2CL6       0.237
CLO         0.0515
CLOO        0.0675
CH3CL       0.0505
HCL         0.0365
O3          0.048
HE          0.004
N           0.014
CHF3        0.070
CH2F2       0.052
CHF2        0.051
CHF         0.032
CF2         0.050
CF3         0.069
C2F4        0.100
C2F6        0.140
C2H2F2      0.064
CH3F        0.034
C4F8        0.200
HF          0.020
F           0.019
F2          0.038
CF          0.031
COF         0.047
COF2        0.066
CH2F        0.033
CHOp        0.029
H3Op        0.019
e           0.5E-06
O2m         0.032
O4m         0.064
CO3m        0.060
SF6         0.146
C3H6        0.042
C2H5OH      0.046
CH3OOH      0.048
